,node_id,osm_node_id,x_coord,y_coord,osm_highway,ctrl_type
0,455416,455416,47.33012008666992,8.528983116149902,traffic_signal,signal
1,150550602,150550602,47.34018707275391,8.572807312011719,traffic_signal,signal
2,156358795,156358795,47.37380599975586,8.537273406982422,traffic_signal,signal
3,261617754,261617754,47.34776306152344,8.52099609375,traffic_signal,signal
4,673851067,673851067,47.38156509399414,8.582622528076172,traffic_signal,signal
5,687459447,687459447,47.37724685668945,8.583719253540039,traffic_signal,signal
6,1279686155,1279686155,47.41901016235352,8.57494068145752,traffic_signal,signal
7,1581022766,1581022766,47.36420822143555,8.565857887268066,traffic_signal,signal
8,3946091203,3946091203,47.379180908203125,8.559535026550293,traffic_signal,signal
9,4433578571,4433578571,47.390045166015625,8.512412071228027,traffic_signal,signal
10,5473335653,5473335653,47.42180633544922,8.550308227539062,traffic_signal,signal
11,5742223075,5742223075,47.41924285888672,8.547608375549316,traffic_signal,signal
12,6184045444,6184045444,47.34162139892578,8.521672248840332,traffic_signal,signal
13,7079892963,7079892963,47.41419982910156,8.551741600036621,traffic_signal,signal
14,29798702,29798702,47.36770248413086,8.534550666809082,traffic_signal,signal
15,34505894,34505894,47.373046875,8.536518096923828,traffic_signal,signal
16,36168119,36168119,47.35936737060547,8.569658279418945,traffic_signal,signal
17,292216798,292216798,47.40918731689453,8.59432315826416,traffic_signal,signal
18,318435960,318435960,47.42009353637695,8.556363105773926,traffic_signal,signal
19,378722943,378722943,47.41230773925781,8.483858108520508,traffic_signal,signal
20,775938683,775938683,47.3830451965332,8.500006675720215,traffic_signal,signal
21,1787256851,1787256851,47.33795166015625,8.538647651672363,traffic_signal,signal
22,1828996354,1828996354,47.391544342041016,8.513486862182617,traffic_signal,signal
23,1951731460,1951731460,47.408809661865234,8.549012184143066,traffic_signal,signal
24,1986773366,1986773366,47.40530776977539,8.558329582214355,traffic_signal,signal
25,2022813449,2022813449,47.39583969116211,8.545473098754883,traffic_signal,signal
26,2171918036,2171918036,47.41976547241211,8.555764198303223,traffic_signal,signal
27,2884057639,2884057639,47.377723693847656,8.518709182739258,traffic_signal,signal
28,3328185853,3328185853,47.35344696044922,8.511895179748535,traffic_signal,signal
29,4120991685,4120991685,47.38020324707031,8.512248992919922,traffic_signal,signal
30,4427891959,4427891959,47.425201416015625,8.548036575317383,traffic_signal,signal
31,4502009664,4502009664,47.3770751953125,8.499375343322754,traffic_signal,signal
32,5044851602,5044851602,47.41048049926758,8.569587707519531,traffic_signal,signal
33,5134789752,5134789752,47.38529586791992,8.539894104003906,traffic_signal,signal
34,5135549022,5135549022,47.34352493286133,8.530272483825684,traffic_signal,signal
35,5242251689,5242251689,47.38271713256836,8.51546859741211,traffic_signal,signal
36,5720196702,5720196702,47.376953125,8.552607536315918,traffic_signal,signal
37,7164891812,7164891812,47.3979721069336,8.476593971252441,traffic_signal,signal
38,7238080456,7238080456,47.400856018066406,8.58411693572998,traffic_signal,signal
39,8119389337,8119389337,47.39102554321289,8.479744911193848,traffic_signal,signal
40,8761689827,8761689827,47.39082717895508,8.479450225830078,traffic_signal,signal
41,28137432,28137432,47.377479553222656,8.533336639404297,traffic_signal,signal
42,260747021,260747021,47.3684196472168,8.524513244628906,traffic_signal,signal
43,261616155,261616155,47.35154342651367,8.525643348693848,traffic_signal,signal
44,470341366,470341366,47.35029220581055,8.47288990020752,traffic_signal,signal
45,486096950,486096950,47.41513442993164,8.58926010131836,traffic_signal,signal
46,775936243,775936243,47.38970565795898,8.481605529785156,traffic_signal,signal
47,1355467109,1355467109,47.37979507446289,8.542496681213379,traffic_signal,signal
48,1394195301,1394195301,47.351112365722656,8.579599380493164,traffic_signal,signal
49,1580502865,1580502865,47.343780517578125,8.583738327026367,traffic_signal,signal
50,1611966024,1611966024,47.42380142211914,8.508283615112305,traffic_signal,signal
51,1704571375,1704571375,47.41725158691406,8.584512710571289,traffic_signal,signal
52,2022787500,2022787500,47.393798828125,8.544859886169434,traffic_signal,signal
53,2889766781,2889766781,47.40805435180664,8.478038787841797,traffic_signal,signal
54,2979115227,2979115227,47.38628387451172,8.538397789001465,traffic_signal,signal
55,3266619186,3266619186,47.39421081542969,8.5371732711792,traffic_signal,signal
56,3829552473,3829552473,47.37945556640625,8.544660568237305,traffic_signal,signal
57,4362579182,4362579182,47.39841079711914,8.476044654846191,traffic_signal,signal
58,4920833726,4920833726,47.37477111816406,8.552370071411133,traffic_signal,signal
59,4971976345,4971976345,47.37152099609375,8.52122688293457,traffic_signal,signal
60,21546400,21546400,47.42326354980469,8.573277473449707,traffic_signal,signal
61,103034540,103034540,47.40073776245117,8.537177085876465,traffic_signal,signal
62,150549676,150549676,47.34770584106445,8.563281059265137,traffic_signal,signal
63,157370149,157370149,47.3784065246582,8.510361671447754,traffic_signal,signal
64,242410817,242410817,47.34272003173828,8.482657432556152,traffic_signal,signal
65,262968575,262968575,47.33379364013672,8.543187141418457,traffic_signal,signal
66,267276287,267276287,47.36894607543945,8.519394874572754,traffic_signal,signal
67,667019660,667019660,47.417083740234375,8.506927490234375,traffic_signal,signal
68,1098250696,1098250696,47.39436721801758,8.539365768432617,traffic_signal,signal
69,1381334765,1381334765,47.37163543701172,8.562684059143066,traffic_signal,signal
70,1388680649,1388680649,47.36325073242188,8.533632278442383,traffic_signal,signal
71,1492866250,1492866250,47.403926849365234,8.56937313079834,traffic_signal,signal
72,1500495045,1500495045,47.33562088012695,8.569404602050781,traffic_signal,signal
73,1740553278,1740553278,47.37002182006836,8.548994064331055,traffic_signal,signal
